type of test,model,Dataset,Accuracy,Precision,Recall,F1,Speed: emails/second
Single agent - zero shot -  (A/B testing) - A,Qwen/Qwen2.5-3B-Instruct,AIGEN,49.05% ,48.63%,99.23%,65.28%,3.2 emails/second
Single agent - zero shot -  (A/B testing) - A,Qwen/Qwen2.5-3B-Instruct,ENRON,51.18% ,50.92%,98.95%,67.24%,3.0 emails/second
Single agent - zero shot -  (A/B testing) - A,Qwen/Qwen2.5-3B-Instruct,TREC,51.56% ,50.69%,99.79%,67.23%,2.7 emails/second
Single agent - zero shot -  (A/B testing) - A,meta-llama/Llama-3.2-3B-Instruct,AIGEN,85.1%,81.59%,90.76%,85.9%,2.9 emails/second
Single agent - zero shot -  (A/B testing) - A,meta-llama/Llama-3.2-3B-Instruct,ENRON,77.0%,71.54%,89.50%,83.4%,2.8 emails/second
Single agent - zero shot -  (A/B testing) - A,meta-llama/Llama-3.2-3B-Instruct,TREC,83.4%,78.84%,91.21%,84.6%,2.3 emails/second
Single agent - zero shot -  (A/B testing) - A,Qwen/Qwen2.5-7B-Instruct,AIGEN,62.0%,71.6%,96.00%,71.00%,1.8 s
Single agent - zero shot -  (A/B testing) - A,Qwen/Qwen2.5-7B-Instruct,ENRON,54.0%,68.5%,99.00%,68.49%,1.7 s
Single agent - zero shot -  (A/B testing) - A,Qwen/Qwen2.5-7B-Instruct,TREC,56.0%,69.4%,100.00%,69.44%,1.5 s
Single agent - zero shot -  (A/B testing) - A,meta-llama/Llama-3.1-8B-Instruct,AIGEN,80.20%,80.82%,79.20%,80.00%,1.6 s
Single agent - zero shot -  (A/B testing) - A,meta-llama/Llama-3.1-8B-Instruct,ENRON,81.60%,78.42%,87.20%,82.58%,1.6 s
Single agent - zero shot -  (A/B testing) - A,meta-llama/Llama-3.1-8B-Instruct,TREC,79.60%,82.46%,75.20%,78.66%,1.4 s
Single agent - zero shot -  (A/B testing) - A,google/gemma-2-2b-it,AIGEN,73.58% ,66.44%,97.98%,79.18%,2.9 s
Single agent - zero shot -  (A/B testing) - A,google/gemma-2-2b-it,ENRON,62.50%,57.14%,100%,72.73%,3.1 s
Single agent - zero shot -  (A/B testing) - A,google/gemma-2-2b-it,TREC,76.5%,70.23%,92.00%,79.65%,2.7
